# X 	 Y 	 E 	 DX

0.000894868	23.0666	22.744	0.000339497
0.00130211	5.38224	19.0291	0.000345066
0.00170936	4.2049	16.8196	0.000352557
0.00211661	6.64482	14.9508	0.00036185
0.00252385	10.0204	13.8787	0.000372811
0.0029311	9.87602	12.9475	0.000385296
0.00333834	13.8834	11.9877	0.000399165
0.00374559	7.63488	11.3323	0.000414276
0.00415284	14.1649	10.9863	0.0004305
0.00456008	11.1476	10.3513	0.000447716
0.00496733	21.095	10.0002	0.000465813
0.00537457	27.0501	9.635	0.000484693
0.00578182	22.3231	9.30835	0.000504268
0.00618907	33.2083	8.98777	0.00052446
0.00659631	42.8473	8.90836	0.000545201
0.00700356	47.375	8.86221	0.00056643
0.0074108	47.4189	8.40579	0.000588095
0.00781805	70.1222	8.75377	0.000610149
0.0082253	85.4965	8.70257	0.000632551
0.00863254	103.678	9.00137	0.000655265
0.00903979	144.285	9.44301	0.000678261
0.00944703	189.462	10.0082	0.000701511
0.00985428	222.373	10.533	0.00072499
0.0102615	290.052	11.2445	0.000748676
0.0106688	336.073	11.8331	0.000772551
0.011076	427.456	12.7408	0.000796597
0.0114833	518.204	13.7816	0.0008208
0.0118905	618.25	14.5729	0.000845146
0.0122978	703.933	15.1517	0.000869623
0.012705	752.247	15.4439	0.00089422
0.0131122	811.167	15.7426	0.000918928
0.0135195	821.956	15.4265	0.000943738
0.0139267	806.314	15.2196	0.000968642
0.014334	786.32	14.8377	0.000993633
0.0147412	689.639	13.875	0.0010187
0.0151485	572.736	12.4329	0.00104385
0.0155557	497.733	11.673	0.00106907
0.015963	410.13	10.5208	0.00109435
0.0163702	304.419	9.28992	0.00111969
0.0167775	234.141	8.27659	0.00114509
0.0171847	191.385	7.68327	0.00117054
0.017592	145.273	7.0059	0.00119603
0.0179992	99.2722	6.15889	0.00122158
0.0184064	82.1191	5.93037	0.00124717
0.0188137	61.9167	5.60626	0.0012728
0.0192209	48.2976	5.35345	0.00129847
0.0196282	39.6437	5.22136	0.00132417
0.0200354	29.1296	5.11531	0.00134991
0.0204427	22.8956	5.02067	0.00137568
0.0208499	19.041	4.91482	0.00140148
0.0212572	16.2951	4.87423	0.00142731
0.0216644	13.624	4.81861	0.00145317
0.0220717	9.77746	4.74693	0.00147905
0.0224789	8.86201	4.71254	0.00150495
0.0228862	5.89353	4.63989	0.00153088
0.0232934	6.72974	4.65408	0.00155684
0.0237006	6.54878	4.53972	0.00158281
0.0241079	4.28415	4.54528	0.0016088
0.0245151	4.48386	4.49249	0.00163481
0.0249224	5.04874	4.47803	0.00166084
0.0253296	3.33159	4.42277	0.00168689
0.0257369	4.39188	4.37184	0.00171296
0.0261441	2.55271	4.37459	0.00173903
0.0265514	1.79848	4.32086	0.00176513
0.0269586	1.76773	4.28413	0.00179124
0.0273659	1.60446	4.24836	0.00181736
0.0277731	1.99594	4.23836	0.0018435
0.0281803	1.29765	4.18547	0.00186964
0.0285876	1.56617	4.20014	0.00189581
0.0289948	1.26276	4.35296	0.00192198
0.0294021	2.46961	4.43024	0.00194816
0.0298093	1.53352	4.55237	0.00197435
0.0302166	1.04794	4.86036	0.00200056
0.0306238	0.762508	5.07549	0.00202677
0.0310311	0.833182	5.30547	0.002053
0.0314383	1.7583	5.45075	0.00207923
0.0318456	0.242344	5.72304	0.00210547
0.0322528	1.49397	5.80223	0.00213172
0.0326601	1.09946	6.09624	0.00215798
0.0330673	0.857561	6.21823	0.00218424
0.0334745	0.313065	6.50743	0.00221052
0.0338818	0.987302	6.67244	0.0022368
0.034289	0.355128	6.93102	0.00226309
0.0346963	0.386724	7.23234	0.00228938
0.0351035	0.815251	7.42681	0.00231568
0.0355108	0.454053	7.84003	0.00234199
0.035918	0	7.98997	0.0023683
0.0363253	1.07024	8.511	0.00239462
0.0367325	0	8.758	0.00242095
0.0371398	1.32121	9.45765	0.00244728
0.037547	1.41813	9.79951	0.00247362
0.0379543	0	10.3886	0.00249996
0.0383615	0	11.2892	0.00252631
0.0387687	1.06671	12.0227	0.00255266
0.039176	0	13.1618	0.00257901
0.0395832	1.6136	14.7874	0.00260537
0.0399905	0	16.8127	0.00263174
0.0403977	0	20.2094	0.00265811
0.040805	0	26.5912	0.00268448
0.0412122	0	55.3611	0.00271086
